"","Date","Species","notes","Site","Total_time","nFurSeals"
"460","09-Dec-02","WS","#WS=2","JOUG","02:00:00",NA
"461","09-Dec-02","","","ORNE","01:35:00",NA
"462","10-Dec-02","","","PETE","02:30:00",NA
"463","11-Dec-02","","","ALMI","00:45:00",NA
"464","11-Dec-02","","","NEKO","01:30:00",NA
"465","12-Dec-02","WS","#WS=1","DAMO","01:30:00",NA
"466","12-Dec-02","","","LECO","00:05:00",NA
"467","12/28/2002","ESWS","#ES=14#WS=2","BRIT","02:30:00",NA
"468","12/29/2002","ES","#ES = 94 (14 at BEACH)","AITC","03:00:00",NA
"469","12/29/2002","WSES","","MITC","00:55:00",NA
"470","12/29/2002","","","YANK","01:50:00",NA
"471","12/30/2002","","","BAIL","03:10:00",NA
"472","12/30/2002","","","TELE","01:00:00",NA
"473","12/30/2002","","","WHAL","02:30:00",NA
"474","12/31/2002","","","EAGL","02:30:00",NA
"475","01-Jan-03","","","BROW","03:00:00",NA
"476","01-Jan-03","WS","#ws=5","HYDR","02:45:00",NA
"477","02-Jan-03","","","CUVE","02:15:00",NA
"478","02-Jan-03","","","JOUG","02:20:00",NA
"479","03-Jan-03","","","ALMI","02:15:00",NA
"480","03-Jan-03","ES","#es=3","PLEN","00:15:00",NA
"481","08-Jan-03","FSWSLSES","","AITC","03:10:00",NA
"482","08-Jan-03","WS","","MITC","01:15:00",NA
"483","09-Jan-03","WS","","BAIL","03:00:00",NA
"484","09-Jan-03","WS","","TELE","02:30:00",NA
"485","09-Jan-03","WS","","WHAL","02:30:00",NA
"486","10-Jan-03","WS","","BROW","03:00:00",NA
"487","10-Jan-03","WS","","PAUL","03:00:00",NA
"488","11-Jan-03","WS","","HYDR","02:00:00",NA
"489","11-Jan-03","WS","","NEKO","01:30:00",NA
"490","12-Jan-03","LS","","JOUG","03:00:00",NA
"491","1/13/2003","WS","","DETA","02:30:00",NA
"492","1/13/2003","","","FISH","01:30:00",NA
"493","1/14/2003","WS","","PLEN","03:30:00",NA
"494","1/19/2003","ES","#es=4","AITC","02:30:00",NA
"495","1/20/2003","","","DEVI","02:00:00",NA
"496","1/20/2003","WS","#WS=3","PAUL","02:00:00",NA
"497","1/21/2003","WS","#ws=2","MADD","02:00:00",NA
"498","1/21/2003","","","SIFF","01:30:00",NA
"499","1/22/2003","FS","#fs=2","BAIL","02:30:00",2
"500","1/23/2003","","","PETE","02:30:00",NA
"501","1/25/2003","","","ALMI","",NA
"502","1/25/2003","","","JOUG","03:00:00",NA
"503","1/25/2003","WS","#WS=2","NEKO","02:00:00",NA
"504","1/30/2003","FSES","#ES (West End) = 22 (Accuracy = 2)#ES(Landing)=4#ES(Whalebone beach)=5#FS=5","AITC","03:00:00",5
"505","1/31/2003","WS","#WS=1","FALS","",NA
"506","1/31/2003","","","SNOW","03:00:00",NA
"507","01-Feb-03","FSWS","#WS=1#FS=1","BROW","02:30:00",1
"508","01-Feb-03","FSWS","#WS=1#FS=1","PAUL","02:00:00",1
"509","02-Feb-03","FSES","#FS=10#ES=1 (juv)","BAIL","02:15:00",10
"510","01-Feb-03","","","WHAL","02:00:00",NA
"511","03-Feb-03","WS","#WS=1","PETE","03:00:00",NA
"512","04-Feb-03","","","SHUM","",NA
"513","06-Feb-03","","","ALMI","01:00:00",NA
"514","06-Feb-03","","","JOUG","03:00:00",NA
"515","12-Feb-03","","","MCAL","01:04:00",NA
"516","2/13/2003","","","JOUG","02:30:00",NA
"517","2/13/2003","WS","#WS=2","PETE","02:40:00",NA
"518","2/14/2003","","","ALMI","00:40:00",NA
"519","2/14/2003","FSWSLS","","CUVE","03:15:00",NA
"520","2/14/2003","","","NEKO","01:20:00",NA
"521","2/14/2003","FS","","ORNE","01:50:00",NA
"522","2/15/2003","FS","","BAIL","02:25:00",NA
"523","2/15/2003","","","TELE","00:45:00",NA
"524","2/15/2003","FSWS","#FS=20#WS=120 FS and 1 WS hauled olut on flats below window.","WHAL","01:30:00",20
"525","2/16/2003","","100s of FS on beach. Also, WS, CS, and LS obs.","PAUL","02:05:00",200
"526","2/16/2003","","","SNOW","02:05:00",NA
"527","2/17/2003","WSFS","#WS=2#FS=2","HILL","02:20:00",2
"528","2/17/2003","WS","#WS=1","DEVI","02:20:00",NA
"529","2/18/2003","ESFS","50 FS and one ES obs.","WILD","02:20:00",50
"530","2/19/2003","FSWSLS","#FS=100#WS=1","GIBA","02:10:00",100
"531","07-Dec-92","","","BAIL","",NA
"532","01-Dec-93","","","PENG","",NA
"533","04-Dec-93","","","BAIL","",NA
"534","12/24/1993","","","PENG","",NA
"535","1/13/1994","","","ALMI","",NA
"536","1/24/1994","","","ALMI","",NA
"537","11/28/1995","ES","#ES=63","TURR","02:30:00",NA
"538","11/29/1995","","","BAIL","04:45:00",NA
"539","11/29/1995","WSES","#WS (landing beach) = 3#ES (north beach, south beach) = 2#WS (north beach, south beach) = 4 ","HALF","03:30:00",NA
"540","1/15/1996","WS","#WS = 9","MIKK","02:05:00",NA
"541","11/25/1997","WS","#WS=2","WHAL","01:00:00",NA
"542","05-Dec-97","","","PETE","02:15:00",NA
"543","03-Feb-98","","","JOUG","02:10:00",NA
"544","07-Feb-98","","","JOUG","06:00:00",NA
"545","1/16/1999","ES","#ES(landing beach)=2#ES(wallow)=34#ES(far eastern beach)=4","HANN","02:10:00",NA
"546","08-Jan-01","FS","","WILD","02:00:00",NA
"547","1/14/2001","","","PCHA","01:00:00",NA
"548","11/28/2003","WSLSES","Leopard seals actively taking penguins- as the WD had observed last year. ","SAND","03:00:00",NA
"549","01-Dec-03","","","JOUG","03:30:00",NA
"550","12/17/2003","ES","#ES=4","SHIN","02:00:00",NA
"551","12/17/2003","","","HANS","00:30:00",NA
"552","12/19/2003","","","BAIL","02:00:00",NA
"553","12/20/2003","WSES","#WS=2#ES (W end spit) = 47","AITC","03:00:00",NA
"554","12/20/2003","WSES","#WS=1#ES=1","YANK","01:45:00",NA
"555","12/21/2003","","","CUVE","03:30:00",NA
"556","12/21/2003","","","LECO","00:05:00",NA
"557","12/21/2003","WS","#WS=1","NEKO","02:00:00",NA
"558","12/22/2003","","","ALMI","",NA
"559","12/22/2003","","","PLEN","02:00:00",NA
"560","11/28/2003","LS","Leopard seals actively taking penguins- as the WD had observed last year. ","SPIN","03:00:00",NA
"561","11/29/2003","WS","#WS (beach)=15  leopards near beach on arrival- seemed to disperse during zodiac operations. ","BROW","03:30:00",NA
"562","02-Dec-03","","","ALMI","02:30:00",NA
"563","03-Dec-03","","","CUVE","03:00:00",NA
"564","02-Dec-03","","","PRIE","00:05:00",NA
"565","04-Dec-03","","","BAIL","03:00:00",NA
"566","04-Dec-04","","","WATE","",NA
"567","04-Dec-04","","","NEKO","",NA
"568","12/30/2003","","","AITC","02:30:00",NA
"569","12/31/2003","FSWSCSES","","NEKO","02:30:00",NA
"570","01-Jan-04","","","PETE","01:50:00",NA
"571","01-Jan-04","","","BRYS","00:45:00",NA
"572","01-Jan-04","","","CUVE","02:00:00",NA
"573","01-Jan-04","","","ALMI","00:15:00",NA
"574","03-Jan-04","","","DETA","02:30:00",NA
"575","04-Jan-04","","","YALO","02:00:00",NA
"576","04-Jan-04","ES","#ES=2","PLEN","03:40:00",NA
"577","05-Jan-04","","","JOUG","03:00:00",NA
"578","10-Jan-04","FSWSCSES","@ Landing: E-4, F-2, W-1@ Whalebone Beach: E-22@ NW Wallow: E-37@ NW Spit, W End:  F-3, E-6, W-4, C-1","AITC","03:00:00",5
"579","10-Jan-04","","","BAIL","",NA
"580","11-Jan-04","","","WHAL","01:00:00",NA
"581","12-Jan-04","","","ALMI","",NA
"582","1/15/2004","ESWS","ES pup + 5 subadults; 5 WS","PLEN","03:30:00",NA
"583","1/25/2004","","","PCHA","",NA
"584","1/27/2004","","","YALO","",NA
"585","05-Feb-04","","","PCHA","",NA
"586","05-Feb-04","","","ALMI","",NA
"587","06-Feb-04","","","NEKO","02:27:00",NA
"588","06-Feb-04","","","PRIE","00:05:00",NA
"589","07-Feb-04","FSWS","#FS=8#WS=1","WHAL","",8
"590","08-Feb-04","","","MITC","",NA
"591","08-Feb-04","ES","#ES=10","DUFF","00:30:00",NA
"592","2/15/2004","","","PETE","02:00:00",NA
"593","2/16/2004","FS","#FS=1","JOUG","02:00:00",1
"594","2/18/2004","FS","MANY FUR SEALS MOVING IN.","PAUL","02:00:00",NA
"595","2/19/2004","","","GIBB","",NA
"596","2/21/2004","","","SAND","",NA
"597","11/30/2003","","","YALO","03:44:00",NA
"598","12-Jan-95","WS","#WS = 4 (on the beach)","MIKK","03:30:00",NA
"599","12/17/1995","WS","#WS (landing beach) = 4#WS (whalebone beach) = 1","AITC","05:00:00",NA
"600","11/17/1995","WSES","#WS (landing beach) = 2#ES (landing beach) = 3","PENG","04:35:00",NA
"601","11/18/1995","","","BAIL","04:10:00",NA
"602","11/18/1995","","","HANN","02:55:00",NA
"603","11/25/2004","","","BROW","02:40:00",NA
"604","11/25/2004","","","HOPE","02:50:00",NA
"605","11/18/2006","WSESFS","WS: 6 on S side, 1 on landing beach","AITC","02:15:00",NA
"606","11/19/2006","WSLS","","BROW","02:45:00",NA
"607","11/19/2006","WS","WS: 2 A + 8 juv","PAUL","02:00:00",NA
"608","11/21/2006","LS","#LS=4","BAIL","02:10:00",NA
"609","11/21/2006","WSLS","#WS=3#LS=1","ENTR","02:30:00",NA
"610","11/22/2006","","","GEOR","02:00:00",NA
"611","11/22/2006","","","ORNE","00:03:00",NA
"612","11/22/2006","","","CUVE","00:05:00",NA
"613","11/22/2006","","","BENE","",NA
"614","11/22/2006","","","ALMI","00:15:00",NA
"615","11/22/2006","LS","","JOUG","01:45:00",NA
"616","11/24/2006","WS","#WS=2","MELC","00:51:00",NA
"617","09-Dec-06","ES","#ES=1ES: on beach","SHIN","",NA
"618","10-Dec-06","","","WILD","",NA
"619","12-Dec-06","LS","#LS=2LS: in water at landing beach and below Needles","BAIL","02:40:00",NA
"620","12-Dec-06","FS","#FS =1","WHAL","01:30:00",1
"621","12/13/2006","","","ECKE","00:35:00",NA
"622","12/13/2006","CS","#CS=3","ENTE","02:30:00",NA
"623","12/13/2006","","","BENE","00:05:00",NA
"624","12/13/2006","WS","#WS=1","NEKO","02:05:00",NA
"625","12/14/2006","","","PLEN","02:45:00",NA
"626","12/14/2006","LS","#LS=1LS: reported from boats doing zodiac cruise offshore","PCHA","02:00:00",NA
"627","12/20/2006","ES","#ES=31ES: one at landing beach, others on spit at W end of island","AITC","03:15:00",NA
"628","12/21/2006","WS","#WS=9","BROW","03:00:00",NA
"629","12/21/2006","","","ACTI","",NA
"630","12/21/2006","WS","#WS=17","TAYH","03:00:00",NA
"631","12/22/2006","","","PEPO","04:00:00",NA
"632","12/22/2006","WS","","DEVI","02:15:00",NA
"633","11/19/2006","","","COCK","",NA
"634","11/19/2006","","","ALMI","00:15:00",NA
"635","12/24/2006","ES","#ES=1","BRYE","00:30:00",NA
"636","12/24/2006","","","BRYS","01:00:00",NA
"637","12/24/2006","","","BRYC","00:05:00",NA
"638","12/24/2006","WS","#WS=1","PABE","00:05:00",NA
"639","12/25/2006","","","MOOT","00:30:00",NA
"640","12/25/2006","","","YALO","02:10:00",NA
"641","12/25/2006","WS","WS code=3#WS=6","BERT","02:40:00",NA
"642","12/25/2006","","","GLAN","00:00:00",NA
"643","12/25/2006","","","LOUB","00:00:00",NA
"644","12/25/2006","","","HUMP","00:00:00",NA
"645","12/31/2006","ES","","AITC","03:00:00",NA
"646","01-Jan-07","WS","#WS: 18 plus on beaches","PAUL","03:00:00",NA
"647","02-Jan-07","","","EAGL","01:30:00",NA
"648","02-Jan-07","","","DEVI","02:35:00",NA
"649","03-Jan-07","","","BAIL","03:00:00",NA
"650","03-Jan-07","","","WHAL","02:30:00",NA
"651","04-Jan-07","","","CUVE","02:10:00",NA
"652","04-Jan-07","","","NEKO","01:45:00",NA
"653","05-Jan-07","WSLSES","LS: on ice","PLEN","02:15:00",NA
"654","05-Jan-07","","","PETE","02:30:00",NA
"655","06-Jan-07","","","JOUG","01:15:00",NA
"656","11-Jan-07","","","AITC","02:50:00",NA
"657","12-Jan-07","","","PAUL","04:10:00",NA
"658","1/13/2007","","","EYRI","02:40:00",NA
"659","1/13/2007","","","DEVI","02:30:00",NA
"660","1/14/2007","","","BAIL","03:00:00",NA
"661","1/14/2007","","","WHAL","01:00:00",NA
"662","1/15/2007","","","CUVE","01:30:00",NA
"663","1/16/2007","","","BERT","02:00:00",NA
"664","1/22/2007","FSES","#FS=19#ES=40","BRIT","02:30:00",19
"665","1/23/2007","","","HERO","02:00:00",NA
"666","1/24/2007","","","DEVI","02:30:00",NA
"667","1/24/2007","","","BROW","02:30:00",NA
"668","1/25/2007","","","BAIL","02:15:00",NA
"669","1/26/2007","","","ORNE","01:00:00",NA
"670","1/26/2007","FSWS","#FS=5#WS=2","GEOR","01:00:00",5
"671","1/28/2007","","","JOUG","",NA
"672","06-Feb-07","FSWS","","STON","",NA
"673","2/13/2007","FS","FS: bulls all over beach","AITC","02:45:00",NA
"674","2/14/2007","FS","#FS=38","GEOR","01:25:00",38
"675","2/14/2007","FSWS","#FS=34#WS=1","ORNE","01:34:00",34
"676","2/14/2007","","","NEKO","02:00:00",NA
"677","2/15/2007","","","PETE","02:30:00",NA
"678","2/15/2007","FS","#FS=40","PCHA","01:20:00",40
"679","2/16/2007","","","ALMI","00:20:00",NA
"680","2/16/2007","","","JOUG","00:25:00",NA
"681","2/17/2007","FSLSES","#FS=234#LS=2#ES=1","BAIL","03:30:00",234
"682","2/17/2007","","","WHAL","01:30:00",NA
"683","2/18/2007","FSWS","#FS=621#WS=6","PAUL","02:40:00",621
"684","2/20/2007","FSES","#FS=421#ES=36","SHIN","02:30:00",421
"685","11-Dec-04","WS","#WS=15About  15 Weddells on beach between balsatic stoack and northeast point.  No other seals present.","PAUL","02:25:00",0
"686","11-Dec-04","","No seals on beach.","BROW","01:45:00",0
"687","12-Dec-04","","","WHAL","02:25:00",NA
"688","12-Dec-04","","","BAIL","04:00:00",NA
"689","12/13/2004","WS","5 W seals in area - 1 W at 'landing'","JOUG","01:45:00",NA
"690","12/13/2004","ES","1 ES on beach","CUVE","01:45:00",NA
"691","12/14/2004","","","NEKO","02:15:00",NA
"692","12/14/2004","","","ALMI","",NA
"693","11/25/2006","","","MOOT","",NA
"694","11/25/2006","","","YALO","",NA
"695","08-Dec-06","","","DANC","",NA
"696","1/23/2001","WS","#WS=2","PRIE","00:15:00",NA
"697","12/24/2003","","","JOUG","",NA
"698","11-Jan-04","","","CUVE","00:15:00",NA
"699","1/30/2004","","","YALO","",NA
"700","1/27/2004","","","HOVG","",NA
"701","11-Nov-07","WS","4 WS (2 WS on W end, 2 WS on E end)","AITC","02:40:00",NA
"702","12-Nov-07","WSFS","#FS=1#WS=1","WILD","03:30:00",1
"703","11/13/2007","LS","","BAIL","03:00:00",NA
"704","11/14/2007","WS","WS#=2 (on island)","MIKK","02:00:00",NA
"705","11/14/2007","LS","LS#= 2 at landing beach","CIER","03:00:00",NA
"706","11/15/2007","","","CUVE","02:00:00",NA
"707","11/17/2007","","","ALMI","00:15:00",NA
"708","11/17/2007","","","NEKO","03:00:00",NA
"709","11/22/2007","WS","WS#=4","AITC","03:41:00",NA
"710","11/23/2007","WS","WS#=3","HALF","01:45:00",NA
"711","11/24/2007","WS","WS#=3","USEF","02:30:00",NA
"712","11/24/2007","","","ALMI","00:15:00",NA
"713","11/25/2007","","","DANC","03:05:00",NA
"714","11/25/2007","WS","WS#=2","JOUG","01:30:00",NA
"715","11/27/2007","WS","WS#=3","NEKO","03:00:00",NA
"716","11/28/2007","FSESWS","FS #=2,  WS #=9,  ES #=308/313 (2 counts IS/HM)E seals breeding, mostly weaners and adult males, femals at sea; 1 nursing mom","PRES","02:30:00",2
"717","03-Dec-07","WSES","WS #=2, ES# =1","AITC","04:00:00",NA
"718","04-Dec-07","","","WHAL","01:30:00",NA
"719","05-Dec-07","","","ALMI","00:15:00",NA
"720","06-Dec-07","","","DAMO","02:10:00",NA
"721","07-Dec-07","","","ANDI","02:30:00",NA
"722","07-Dec-07","","","ANDR","02:00:00",NA
"723","07-Dec-07","","","DETA","00:50:00",NA
"724","08-Dec-07","","","PROS","01:30:00",NA
"725","08-Dec-07","CS","","SOMI","00:45:00",NA
"726","09-Dec-07","WS","","USEF","00:30:00",NA
"727","09-Dec-07","","","KETL","00:20:00",NA
"728","12/14/2007","WS","One WS resting on snow","HALF","03:10:00",NA
"729","12/14/2007","","","WHAL","02:00:00",NA
"730","12/15/2007","","","SPIG","02:28:00",NA
"731","12/15/2007","","","SELV","01:04:00",NA
"732","12/15/2007","","","ORNE","01:40:00",NA
"733","12/15/2007","","","CUVE","00:50:00",NA
"734","12/16/2007","ES","many wallowing.","AVIA","01:30:00",NA
"735","12/17/2007","LS","","WEBB","02:00:00",NA
"736","12/18/2007","ES","One elephant seal juv on Minnow 10 (point)","FISH","02:05:00",NA
"737","12/19/2007","WS","","DOBE","00:17:00",NA
"738","12/25/2007","","No Seals Observed","BAIL","02:10:00",0
"739","12/26/2007","","no seals","RONE","01:00:00",0
"740","12/26/2007","","no seals","BENE","01:40:00",0
"741","12/26/2007","","","CUVE","00:05:00",NA
"742","12/25/2007","","No seals Observed","WHAL","01:00:00",0
"743","12/26/2007","","","ALMI","00:30:00",NA
"744","12/27/2007","ES","Counted all elephant seals while walking along the beach which resulted in a total of 403 individuals ","JENN","02:45:00",NA
"745","12/28/2007","WS","2 WS","STON","03:00:00",NA
"746","12/28/2007","WS","Many WS (~15-30)","RRRI","02:40:00",NA
"747","12/29/2007","WSCS","Many seals present at the abandoned station, not on the site of the island where the ADPE colony is located","DETA","01:40:00",NA
"748","12/30/2007","","no seals","PCHA","03:00:00",0
"749","12/31/2007","","","JOUG","02:00:00",NA
"750","06-Jan-08","","no seals","GEOR","02:00:00",0
"751","05-Jan-08","WS","1 on beach ","BAIL","02:30:00",NA
"752","06-Jan-08","","","ALMI","00:15:00",NA
"753","07-Jan-08","WSES","2 Weddell seals and 243 elephant seals (subadult males) were counted on the beach from zodiac, some of  elephant seals were tagged. The count is much lower than count of previous cruise","JENN","03:30:00",NA
"754","08-Jan-08","WS","2 seals at beach","BONG","02:30:00",NA
"755","08-Jan-08","WS","At least 8 seals at the beach","STON","02:30:00",NA
"756","09-Jan-08","","","PROS","01:00:00",NA
"757","10-Jan-08","ESLS","4 ES in area molting, 1 LS hunting below shag nesting area","PLEN","04:00:00",NA
"758","05-Jan-08","","","WHAL","01:00:00",NA
"759","11-Jan-08","","","JOUG","02:00:00",NA
"760","1/16/2008","WS","","HALF","02:40:00",NA
"761","1/17/2008","","","PAUL","01:00:00",NA
"762","1/18/2008","","","BROW","03:00:00",NA
"763","1/18/2008","ESFSWS","#FS=3, #WS=4, #ES=1","PENG","01:45:00",3
"764","1/19/2008","","","WHAL","02:00:00",NA
"765","1/19/2008","WS","","MIKK","02:00:00",NA
"766","1/20/2008","ES","","PCHA","03:30:00",NA
"767","1/22/2008","","","JOUG","01:30:00",NA
"768","1/27/2008","LSFSESWS","Too many FS to count GEPEs and a LS right at landing beach. #FS= 34, #LS=2, #ES=47, #WS=1","BRIT","02:30:00",34
"769","1/28/2008","","","BROW","02:00:00",NA
"770","1/28/2008","WSFS","1 FS on landing beach, several WS lounging by the waterline.","PAUL","03:00:00",1
"771","1/29/2008","FSWS","Several FS on the beach and in the water surrounding the island.","MIKK","02:30:00",3
"772","1/30/2008","","","ENTE","01:30:00",NA
"773","1/30/2008","FS","","ORNE","01:30:00",NA
"774","1/30/2008","","","CUVE","01:00:00",NA
"775","01-Feb-08","ES","#ES=5 (There were 9 LS in the water swimming around the kayakers)","PLEN","04:00:00",NA
"776","02-Feb-08","","","JOUG","03:00:00",NA
"777","07-Feb-08","ESFS","","AITC","02:00:00",NA
"778","10-Feb-08","FS","Up to a dozen fur seals on the landing beach.","GEOR","01:30:00",12
"779","11-Feb-08","","","FISH","02:00:00",NA
"780","12-Feb-08","FS","#FS=1","MOOT","00:45:00",1
"781","2/13/2008","FSWS","Lots of fur seals.","HYDR","02:00:00",NA
"782","08-Jan-08","","","ALMI","02:30:00",NA
"783","2/19/2008","FS","1 FS on landing beach","RONE","02:00:00",1
"784","2/22/2008","FS","","DOBE","01:00:00",NA
"785","05-Jan-08","","","HALF","",NA
"786","11/28/2007","","","YALO","",NA
"787","07-Dec-07","","","YANK","",NA
"788","2/19/2008","","","HUMP","",NA
"789","2/19/2008","","","LOUB","",NA
"790","2/19/2008","","","GLAN","",NA
"791","11/17/1995","WS","#WS=5 (4 at Landing, 1 at Whalebone Beach)","AITC","05:00:00",NA
"792","11/19/1995","","","CUVE","03:30:00",NA
"793","02-Dec-95","","","CUVE","03:00:00",NA
"794","04-Feb-96","","","CUVE","01:30:00",NA
"795","12/17/1995","","","DAMO","02:15:00",NA
"796","10-Dec-95","","","JONA","02:00:00",NA
"797","11/27/1995","ESWS","#WS = 3#ES = 15","BRIT","02:30:00",NA
"798","10-Feb-96","WS","#WS = 1 (landing site)","MADD","02:30:00",NA
"799","2/19/2001","","","PENG","01:45:00",NA
"800","11/20/1995","ESWS","#ES=24#WS=2","TURR","04:00:00",NA
"801","12/15/1995","WSES","#WS = 8 (on spit)#ES = 7 (end of spit past marker)","YANK","02:30:00",NA
"802","03-Feb-07","","","VERN","",NA
"803","1/19/2008","","","VERN","",NA
"804","04-Nov-08","WS","","AITC","03:15:00",NA
"805","05-Nov-08","LS","1 LS on ice floe right off shore","BROW","02:45:00",NA
"806","05-Nov-08","","","DEVI","01:30:00",NA
"807","06-Nov-08","WS","# WS = 1","PAUL","03:00:00",NA
"808","07-Nov-08","FSLS","# FS = 1# LS = 1","BAIL","03:30:00",1
"809","08-Nov-08","","","BENE","00:15:00",NA
"810","08-Nov-08","","","NEKO","01:00:00",NA
"811","08-Nov-08","","","ALMI","01:00:00",NA
"812","09-Nov-08","","","USEF","03:00:00",NA
"813","10-Nov-08","","","JOUG","03:15:00",NA
"814","11/15/2008","WS","#WS = 3","HALF","03:00:00",NA
"815","11/16/2008","WS","#WS = 2","BROW","02:30:00",NA
"816","11/17/2008","","","BAIL","02:30:00",NA
"817","11/17/2008","","","WHAL","02:00:00",NA
"818","11/18/2008","","","NEKO","03:30:00",NA
"819","11/18/2008","","","ALMI","00:15:00",NA
"820","11/19/2008","","","PETE","01:25:00",NA
"821","11/20/2008","WS","#WS = 1","USEF","02:30:00",NA
"822","11/21/2008","","","JOUG","02:45:00",NA
"823","11/26/2008","FS","#FS = 1","AITC","04:30:00",1
"824","11/28/2008","","","LACH","03:00:00",NA
"825","11/28/2008","WS","#WS = 1","BROW","02:30:00",NA
"826","11/29/2008","","","WHAL","02:00:00",NA
"827","11/30/2008","","","ALMI","01:15:00",NA
"828","11/30/2008","ES","# ES = 1 (juvenile)","DAMO","03:25:00",NA
"829","11/30/2008","","","DOBE","00:15:00",NA
"830","01-Dec-08","WS","#WS = 3","PETE","08:00:00",NA
"831","01-Dec-08","","","VERN","",NA
"832","01-Dec-08","","","GLAN","00:30:00",NA
"833","01-Dec-08","","","LOUB","00:30:00",NA
"834","01-Dec-08","","","HUMP","00:30:00",NA
"835","02-Dec-08","WS","#WS=1","NEKO","02:00:00",NA
"836","02-Dec-08","WSES","6 Elephant Seals - 3 cows, 1 cow/pup undetermined, 2 pups10 Weddell Seals - 9 adult, 1 pupAll on Western End","AITC","02:30:00",NA
"837","04-Dec-08","WS","7 Weddell Seals observed","PLEN","03:00:00",NA
"838","04-Dec-08","ES","3 Elephant seal pups.  (Orcas seen in water)","PETE","02:40:00",NA
"839","06-Dec-08","ES","1 Elephant Seal pup","YALO","03:00:00",NA
"840","06-Dec-08","","","VERN","00:30:00",NA
"841","07-Dec-08","ES","~ 5 ES at ES Wallow","AITC","02:00:00",NA
"842","07-Dec-08","","","RONE","00:30:00",NA
"843","07-Dec-08","","","CUVE","02:45:00",NA
"844","07-Dec-08","","","NEKO","01:30:00",NA
"845","08-Dec-08","","","DANC","04:30:00",NA
"846","08-Dec-08","","","CUVE","03:30:00",NA
"847","09-Dec-08","","","JOUG","02:30:00",NA
"848","08-Dec-08","","","ALMI","00:40:00",NA
"849","08-Dec-08","","","BRYS","01:20:00",NA
"850","08-Dec-08","WS","","JOUG","02:00:00",NA
"851","10-Dec-08","","","PCHA","03:30:00",NA
"852","10-Dec-08","","","LOUB","02:45:00",NA
"853","10-Dec-08","","","GLAN","00:45:00",NA
"854","11-Dec-08","","","WHAL","01:30:00",NA
"855","11-Dec-08","","","BAIL","02:15:00",NA
"856","12-Dec-08","","","DEVI","02:30:00",NA
"857","12/13/2008","","","BROW","03:00:00",NA
"858","12/14/2008","WSLS","Leopard Seals in the water and nearby ice; not on land","BONG","02:30:00",NA
"859","12/16/2008","LS","Leopard seal on ice next to chinstrap colony","ORNE","01:00:00",NA
"860","12/16/2008","WS","","JOUG","02:00:00",NA
"861","12/17/2008","CS","","BAIL","",NA
"862","12/18/2008","ESWS","1 elephant seal (juv) on beach, group of Weddel Seals on beach (unknown amount)","HALF","02:45:00",NA
"863","12/18/2008","","","PAUL","02:30:00",NA
"864","12/18/2008","","","WATE","02:30:00",NA
"865","12/19/2008","WS","Lots of seals on beaches and ice.","PAUL","07:00:00",NA
"866","12/20/2008","WSLS","1 WS in water, 1 LS eating penguin near shore","PEPO","05:00:00",NA
"867","12/20/2008","","No seals","BROW","02:30:00",0
"868","12/22/2008","","No seals","GEOR","02:15:00",0
"869","12/22/2008","WS","One weddell on each","NEKO","03:00:00",NA
"870","12/23/2008","WS","1 WS","MOOT","00:25:00",NA
"871","12/23/2008","LS","2-3 LEP around on ice and in near-shore waters","PETE","01:15:00",NA
"872","12/24/2008","ES","1 Juv Elephant seal ","JOUG","02:45:00",NA
"873","12/25/2008","WS","","BONG","02:15:00",NA
"874","12/27/2008","","","PETE","03:30:00",NA
"875","12/28/2008","","","NEKO","01:50:00",NA
"876","12/28/2008","WS","","DAMO","04:00:00",NA
"877","12/28/2008","","","DOBE","00:20:00",NA
"878","12/29/2008","ES","Elephant seals in standard wallow on AITC.","AITC","02:15:00",NA
"879","12/29/2008","","","BAIL","02:30:00",NA
"880","12/30/2008","","None seen","BROW","04:00:00",0
"881","12/30/2008","WS","6 WS hauled out on beach. ","PAUL","03:00:00",NA
"882","12/30/2008","","","PAUL","01:50:00",NA
"883","12/30/2008","LSWS","","HERO","01:00:00",NA
"884","12/31/2008","WS","","VORT","01:20:00",NA
"885","12/31/2008","FSLS","we saw a leopard seal eating a penguin","WILD","01:00:00",NA
"886","01-Jan-09","WS","","BAIL","03:00:00",NA
"887","02-Jan-09","LS","None present on land; however, LS seen in the water. ","PCHA","02:30:00",0
"888","03-Jan-09","LSESCSWS","ES's on beach and LS, WS, and CS all in near shore water or on floes.","PLEN","03:00:00",NA
"889","03-Jan-09","","No seals present except in the bay.","ALMI","00:45:00",0
"890","03-Jan-09","WS","","BRYE","00:30:00",NA
"891","03-Jan-09","WS","Hauled out on beach.","BRYS","00:40:00",NA
"892","04-Jan-09","","None observed","JOUG","02:45:00",0
"893","10-Jan-09","","","BROW","03:15:00",NA
"894","10-Jan-09","WS","","DEVI","03:10:00",NA
"895","11-Jan-09","","","BAIL","02:00:00",NA
"896","12-Jan-09","WS","","PETE","06:00:00",NA
"897","1/13/2009","WS","","DANC","02:15:00",NA
"898","1/14/2009","","None seen. ","ENTE","01:05:00",0
"899","1/14/2009","ESWSLS","did not count the wallow, WS haul out, LS patrolling south shore.","AITC","04:20:00",NA
"900","1/15/2009","","None seen. ","PYPT","00:45:00",0
"901","1/15/2009","ESLS","LS and ES in water off shore","BROW","03:05:00",NA
